N,R_m,R_over_lP,R_over_c_s,t_coh_s,beta,degeneracy,omega_rad_s,nu_Hz,epsilon0_J,shell_zero_point_J,bare_cutoff_M,bare_cutoff_energy_J,scalar_Casimir_energy_J,scalar_Casimir_density_J_m3,scalar_Casimir_pressure_Pa,mode_temperature_K,equal_thermal_zero_temperature_K,mean_Planck_energy_at_theta_J,theta,single_mode_compactness,scalar_Casimir_compactness,epsilon0_R_over_c_Js,scalar_Casimir_R_over_c_Js,rho_R4_Jm
89,6.432945375460923e-17,3.980154972736927e+18,2.1457996036247594e-25,6.7412282708234335e-25,1,1,4.6602674280989017e+24,7.417045973120942e+23,2.4572933446780877e-10,2.4572933446780877e-10,24,2.2115640102102793e-05,2.0477444538984066e-12,3.8968745619035625e+35,1.2989581873011874e+35,35596206489529.016,32401063465878.1,4.914586689356175e-10,0.9102392266268373,6.312480295958677e-38,5.260400246632231e-40,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
90,1.0408724265267222e-16,6.440026026380256e+18,3.4719766917109106e-25,1.0907536468113992e-24,1,1,2.8802036672291796e+24,4.583986507509283e+23,1.5186908073399696e-10,1.5186908073399696e-10,24,1.3668217266059726e-05,1.2655756727833079e-12,5.685463363533529e+34,1.8951544545111761e+34,21999665481088.523,20024958493555.15,3.037381614679939e-10,0.9102392266268373,2.4111529197422217e-38,2.009294099785185e-40,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
91,1.6841669640728132e-16,1.0420180999117177e+19,5.617776295335666e-25,1.7648764738937412e-24,1,1,1.7800637608697255e+24,2.8330594656116636e+23,9.386025373381199e-11,9.3860253733812e-11,24,8.44742283604308e-06,7.821687811151e-13,8.294979256989986e+33,2.7649930856633286e+33,13596541008440.521,12376104972322.979,1.8772050746762398e-10,0.9102392266268373,9.209784632679822e-39,7.674820527233185e-41,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
92,2.7250393905995333e-16,1.686020702549742e+19,9.08975298704657e-25,2.855630120705138e-24,1,1,1.1001399063594561e+24,1.750927041897623e+23,5.800882700018507e-11,5.800882700018507e-11,24,5.2207944300166564e-06,4.834068916682089e-13,1.2102211635944944e+33,4.034070545314982e+32,8403124472648.019,7648853521232.182,1.1601765400037014e-10,0.9102392266268373,3.51782470061723e-39,2.9315205838476913e-41,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
93,4.4092063546723433e-16,2.7280388024614576e+19,1.4707529282382225e-24,4.620506594598876e-24,1,1,6.799238545102709e+23,1.0821324237140429e+23,3.5851426733627e-11,3.5851426733626996e-11,24,3.22662840602643e-06,2.9876188944689166e-13,1.7656888817145594e+32,5.885629605715198e+31,5193416535792.515,4727251451090.808,7.1702853467254e-11,0.9102392266268373,1.3436894691718602e-39,1.1197412243098835e-41,5.272859085000001e-35,4.3940492375000005e-37,6.6735340544032e-30
94,7.134245745271872e-16,4.414059505011197e+19,2.3797282269428777e-24,7.476136715304009e-24,1,1,4.2021605184918606e+23,6.687946181835815e+22,2.2157400266558118e-11,2.2157400266558118e-11,24,1.9941660239902306e-06,1.8464500222131765e-13,2.576105360569481e+31,8.587017868564937e+30,3209707936855.5103,2921602070141.3813,4.4314800533116236e-11,0.9102392266268373,5.132437068983471e-40,4.277030890819559e-42,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
95,1.1543452099944206e-15,7.142098307472649e+19,3.850481155181097e-24,1.2096643309902875e-23,1,1,2.5970780266108524e+23,4.133378055304621e+22,1.3694026467068905e-11,1.3694026467068905e-11,24,1.2324623820362015e-06,1.1411688722557422e-13,3.7584870684073566e+30,1.2528290228024522e+30,1983708598937.0078,1805649380949.429,2.738805293413781e-11,0.9102392266268373,1.9604165152318e-40,1.633680429359833e-42,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
96,1.8677697845216198e-15,1.1556157812483919e+20,6.230209382124015e-24,1.957278002520701e-23,1,1,1.605082491881e+23,2.5545681265311814e+22,8.46337379948917e-12,8.463373799489169e-12,24,7.617036419540252e-07,7.052811499574309e-14,5.4835587315660605e+29,1.82785291052202e+29,1225999337918.4963,1115952689191.9465,1.692674759897834e-11,0.9102392266268373,7.488124767119115e-41,6.240103972599262e-43,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403202e-30
97,3.0221149945160465e-15,1.8698256119956606e+20,1.0080690537305133e-23,3.166942333510995e-23,1,1,9.919955347298357e+22,1.578809928773413e+22,5.230652667579647e-12,5.230652667579647e-12,24,4.707587400821681e-07,4.358877222983039e-14,8.000404368898637e+28,2.6668014562995457e+28,757709261018.4988,689696691757.4707,1.0461305335159293e-11,0.9102392266268373,2.8602091490396137e-41,2.3835076241996783e-43,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
98,4.889884779037662e-15,3.02544139324405e+20,1.6310899919429133e-23,5.124220336031692e-23,1,1,6.130869571511656e+22,9.757581977577704e+21,3.2327211319095295e-12,3.232721131909529e-12,24,2.909449018718576e-07,2.693934276591274e-14,1.1672432666297475e+28,3.890810888765825e+27,468290076899.99835,426255997434.4767,6.465442263819059e-12,0.9102392266268373,1.0925026799997203e-41,9.10418899999767e-44,5.272859085000001e-35,4.3940492375e-37,6.6735340544032e-30
99,7.911999773553702e-15,4.895267005239707e+20,2.6391590456734247e-23,8.29116266954268e-23,1,1,3.789085775786709e+22,6.030517310156437e+21,1.997931535670122e-12,1.9979315356701224e-12,24,1.7981383821031102e-07,1.6649429463917687e-14,1.7029849750957574e+27,5.676616583652525e+26,289419184118.50104,263440694322.99463,3.995863071340244e-12,0.9102392266268373,4.1729889095954354e-42,3.477490757996196e-44,5.272859084999999e-35,4.3940492375000005e-37,6.673534054403202e-30
100,1.2801884552591356e-14,7.920708398483752e+20,4.2702490376163354e-23,1.3415383005574363e-22,1,1,2.341783795724951e+22,3.7270646674212724e+21,1.2347895962394091e-12,1.2347895962394091e-12,24,1.1113106366154682e-07,1.0289913301995076e-14,2.484621593728014e+26,8.28207197909338e+25,178870892781.49756,162815303111.48227,2.4695791924788183e-12,0.9102392266268373,1.5939399287890955e-42,1.3282832739909128e-44,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
101,2.0713884326145045e-14,1.281597540372345e+21,6.909408083289756e-23,2.1706545675117026e-22,1,1,1.447301980061761e+22,2.3034526427351703e+21,7.631419394307145e-13,7.631419394307145e-13,24,6.86827745487643e-08,6.359516161922621e-15,3.6250140513849296e+25,1.20833801712831e+25,110548291337.00375,100625391211.51259,1.526283878861429e-12,0.9102392266268373,6.088308767718481e-43,5.0735906397654005e-45,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
102,3.3515768878736374e-14,2.0736683802207183e+21,1.117965712090608e-22,3.5121928680691365e-22,1,1,8.944818156631915e+21,1.4236120246861045e+21,4.716476568086955e-13,4.716476568086955e-13,24,4.244828911278259e-08,3.930397140072462e-15,5.288824224143277e+24,1.762941408047759e+24,68322601444.49392,62189911899.96978,9.43295313617391e-13,0.9102392266268373,2.3255270152644748e-43,1.9379391793870624e-45,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
103,5.422965320488138e-14,3.355265920593061e+21,1.8089065204195824e-22,5.682847435580835e-22,1,1,5.528201643985706e+21,8.798406180490674e+20,2.9149428262201965e-13,2.9149428262201965e-13,24,2.623448543598177e-08,2.4291190218501637e-15,7.71629055153543e+23,2.57209685051181e+23,42225689892.50992,38435479311.54289,5.829885652440393e-13,0.9102392266268373,8.882722780749344e-44,7.402268983957787e-46,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
104,8.774542208361769e-14,5.428934300813775e+21,2.9268722325101884e-22,9.195040303649965e-22,1,1,3.4166165126462146e+21,5.437714066370382e+20,1.801533741866761e-13,1.801533741866761e-13,24,1.6213803676800847e-08,1.5012781182223007e-15,1.1257916193151593e+23,3.752638731050531e+22,26096911551.984043,23754432588.426933,3.603067483733522e-13,0.9102392266268373,3.392898189603274e-44,2.8274151580027283e-46,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
105,1.4197507528849898e-13,8.784200221406831e+21,4.735778752929768e-22,1.4877887739230791e-21,1,1,2.1115851313394963e+21,3.360692114120299e+20,1.1134090843534382e-13,1.113409084353438e-13,24,1.0020681759180943e-08,9.27840903627865e-16,1.6425078367066564e+22,5.475026122355521e+21,16128778340.525913,14681046723.115992,2.2268181687068763e-13,0.9102392266268373,1.2959717880604666e-44,1.0799764900503888e-46,5.272859085e-35,4.394049237499999e-37,6.6735340544032e-30
106,2.2972049737211645e-13,1.4213134522220592e+22,7.662650985439949e-22,2.4072928042880734e-21,1,1,1.3050313813067206e+21,2.077021952250087e+20,6.881246575133241e-14,6.88124657513324e-14,24,6.193121917619915e-09,5.734372145944367e-16,2.3963866379498616e+21,7.987955459832872e+20,9968133211.458149,9073385865.310957,1.3762493150266482e-13,0.9102392266268373,4.950171745781237e-45,4.1251431214843644e-47,5.272859085000001e-35,4.3940492375e-37,6.673534054403202e-30
107,3.716955726606152e-13,2.299733474362741e+22,1.239842973836971e-21,3.89508157821115e-21,1,1,8.065537500327777e+20,1.2836701618702152e+20,4.252844268401151e-14,4.252844268401151e-14,24,3.827559841561036e-09,3.5440368903342927e-16,3.496280985824144e+20,1.1654269952747148e+20,6160645129.06778,5607660857.805048,8.505688536802302e-14,0.9102392266268373,1.8907973567390302e-45,1.575664463949192e-47,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
108,6.014160700327313e-13,3.721046926584798e+22,2.0061080723809646e-21,6.302374382499219e-21,1,1,4.984776312739435e+20,7.933517903798727e+19,2.628402306732093e-14,2.628402306732093e-14,24,2.3655620760588835e-09,2.1903352556100774e-16,5.10100521270358e+19,1.7003350709011933e+19,3807488082.3903728,3465725007.505913,5.256804613464186e-14,0.9102392266268373,7.222203244358502e-46,6.018502703632085e-48,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
109,9.731116426933525e-13,6.020780400947576e+22,3.2459510462179556e-21,1.0197455960710432e-20,1,1,3.080761187588327e+20,4.9031837149034004e+19,1.6244419616690496e-14,1.6244419616690496e-14,24,1.4619977655021447e-09,1.353701634724208e-16,7.442266306835429e+18,2.48075543561181e+18,2353157046.6773953,2141935850.2991247,3.248883923338099e-14,0.9102392266268373,2.7586361656851505e-46,2.298863471404292e-48,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
110,1.574527712726087e-12,9.741827327532394e+22,5.25205911859893e-21,1.6499830343209683e-20,1,1,1.9040151251510775e+20,3.0303341888952775e+19,1.0039603450630271e-14,1.003960345063027e-14,24,9.035643105567243e-10,8.366336208858558e-17,1.0858120208135132e+18,3.619373402711711e+17,1454331035.7129538,1323789157.2067664,2.0079206901260542e-14,0.9102392266268373,1.053705252697042e-46,8.780877105808683e-49,5.272859085000001e-35,4.3940492375e-37,6.673534054403202e-30
111,2.5476393554194376e-12,1.5762607728479958e+23,8.49801016481688e-21,2.6697286303920095e-20,1,1,1.1767460624372512e+20,1.8728495260081263e+19,6.2048161660602366e-15,6.204816166060237e-15,24,5.584334549454214e-10,5.170680138383531e-17,1.584178388591485e+17,5.280594628638284e+16,898826010.964443,818146693.0923598,1.2409632332120473e-14,0.9102392266268373,4.024795924059737e-47,3.3539966033831142e-49,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
112,4.122167068145522e-12,2.5504435056012333e+23,1.37500692834158e-20,4.319711664712975e-20,1,1,7.272690627138275e+19,1.1574846628871528e+19,3.83478728457004e-15,3.83478728457004e-15,24,3.451308556113036e-10,3.1956560704750333e-17,2.311285120052413e+16,7704283733508043.0,555505024.7485117,505642464.1144074,7.66957456914008e-15,0.9102392266268373,1.5373352452087804e-47,1.2811127043406504e-49,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
113,6.669806423564954e-12,4.126704278449226e+23,2.2248079448232663e-20,6.98944029510498e-20,1,1,4.494769997234246e+19,7.15364863120975e+18,2.370028881490202e-15,2.3700288814902014e-15,24,2.1330259933411814e-10,1.9750240679085013e-17,3372119544520097.0,1124039848173365.6,343320986.215932,312504228.977953,4.740057762980404e-15,0.9102392266268373,5.872098115666008e-48,4.89341509638834e-50,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403201e-30
114,1.0791973491710467e-11,6.677147784050454e+23,3.5998148731648435e-20,1.1309151959817946e-19,1,1,2.7779206299040362e+19,4.4211979976617897e+18,1.464758403079842e-15,1.4647584030798418e-15,24,1.318282562771858e-10,1.220632002566535e-17,491985611116492.7,163995203705497.56,212184038.53258026,193138235.13645488,2.929516806159684e-15,0.9102392266268373,2.2429418949102063e-48,1.8691182457585052e-50,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403202e-30
115,1.7461779915275412e-11,1.0803852062499675e+24,5.824622817988107e-20,1.8298592254922917e-19,1,1,1.7168493673302122e+19,2.7324506335479644e+18,9.052704784103612e-16,9.052704784103612e-16,24,8.14743430569325e-11,7.543920653419677e-18,71779733295343.7,23926577765114.566,131136947.68335198,119365993.84149833,1.8105409568207224e-15,0.9102392266268373,8.567275690646045e-49,7.139396408871704e-51,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
116,2.8253753406985855e-11,1.7480999846550115e+24,9.424437691152943e-20,2.9607744214740834e-19,1,1,1.0610712625738252e+19,1.6887473641138268e+18,5.594879246694815e-16,5.594879246694815e-16,24,5.035391322025334e-11,4.662399372245679e-18,10472521950912.727,3490840650304.242,81047090.84922837,73772241.29495665,1.118975849338963e-15,0.9102392266268373,3.2724081228360647e-49,2.727006769030054e-51,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
117,4.571553332226123e-11,2.8284851909049765e+24,1.5249060509141036e-19,4.790633646966371e-19,1,1,6.557781047563887e+18,1.0437032694341402e+18,3.4578255374088057e-16,3.4578255374088053e-16,24,3.1120429836679244e-11,2.8815212811740042e-18,1527920361045.188,509306787015.0627,50089856.834123746,45593752.546541795,6.915651074817611e-16,0.9102392266268373,1.249948677862137e-49,1.0416238982184475e-51,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
118,7.396928672924703e-11,4.5765851755599845e+24,2.4673498200293964e-19,7.751408068440449e-19,1,1,4.0529315781743744e+18,6.450440946796882e+17,2.1370537092860137e-16,2.1370537092860137e-16,24,1.923348338357412e-11,1.7808780910716783e-18,222920576403.56546,74306858801.18849,30957234.01510469,28178488.74841491,4.2741074185720275e-16,0.9102392266268373,4.774379107503436e-50,3.9786492562528635e-52,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
119,1.1968482005150819e-10,7.405070366464956e+24,3.992255870943497e-19,1.2542041715406812e-18,1,1,2.5048494693895163e+18,3.9865917475445274e+17,1.320771828122794e-16,1.320771828122794e-16,24,1.1886946453105144e-11,1.1006431901023282e-18,32523673779.767227,10841224593.255743,19132622.819019083,17415263.79812691,2.641543656245588e-16,0.9102392266268373,1.823650543888926e-50,1.519708786574105e-52,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
120,1.9365410678075508e-10,1.1981655542024932e+25,6.459605690972889e-19,2.0293449783847248e-18,1,1,1.5480821087848612e+18,2.463849199252359e+17,8.162818811632214e-17,8.162818811632214e-17,24,7.346536930468993e-12,6.80234900969351e-19,4745140054.804739,1581713351.6015797,11824611.196085628,10763224.950288024,1.6325637623264427e-16,0.9102392266268373,6.965725241633387e-51,5.80477103469449e-53,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
121,3.1333892683226306e-10,1.9386725908489875e+25,1.0451861561916379e-18,3.2835491499254042e-18,1,1,9.567673606046568e+17,1.5227425482921706e+17,5.0448994695957354e-17,5.0448994695957354e-17,24,4.540409522636163e-12,4.2040828913297796e-19,692306603.8658768,230768867.95529225,7308011.622933469,6652038.847838898,1.0089798939191471e-16,0.9102392266268373,2.660670286010882e-51,2.2172252383424016e-53,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
122,5.069930336130213e-10,3.1368381450515004e+25,1.6911467252889374e-18,5.312894128310162e-18,1,1,5.913147481802012e+17,9.411066509601835e+16,3.117919342036461e-17,3.1179193420364615e-17,24,2.806127407832815e-12,2.5982661183637173e-19,101006172.25638735,33668724.08546245,4516599.573152134,4111186.1024491023,6.235838684072922e-17,0.9102392266268373,1.0162856163992401e-51,8.469046803327001e-54,5.272859084999999e-35,4.394049237499999e-37,6.6735340544032e-30
123,8.203319604452859e-10,5.075510735900498e+25,2.7363328814805807e-18,8.596443278235582e-18,1,1,3.654526124244496e+17,5.816358973319776e+16,1.926980127559243e-17,1.9269801275592428e-17,24,1.7342821148033187e-12,1.6058167729660356e-19,14736601.928852608,4912200.642950869,2791412.0497812885,2540852.7453897544,3.853960255118486e-17,0.9102392266268373,3.8818656318687256e-52,3.2348880265572714e-54,5.272859085000001e-35,4.3940492375e-37,6.6735340544032e-30
124,1.3273249940583063e-09,8.212348880951993e+25,4.427479606769515e-18,1.3909337406545735e-17,1,1,2.2586213575575206e+17,3.594707536282066e+16,1.1909392144772206e-17,1.1909392144772206e-17,24,1.0718452930294987e-12,9.924493453976839e-20,2150041.2455807067,716680.4151935689,1725187.5233708504,1570333.3570593516,2.3818784289544413e-17,0.9102392266268373,1.4827407316137674e-52,1.2356172763448062e-54,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
125,2.147656954503591e-09,1.3287859616852482e+26,7.16381248825009e-18,2.2505780684781303e-17,1,1,1.3959047666869776e+17,2.2216514370377136e+16,7.360409130820235e-18,7.360409130820235e-18,24,6.624368217738212e-13,6.13367427568353e-20,313686.79021230474,104562.26340410158,1066224.5264104395,970519.3883304043,1.472081826164047e-17,0.9102392266268373,5.663565629725741e-53,4.7196380247714504e-55,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
126,3.4749819485618945e-09,2.150020849780446e+26,1.1591292095019597e-17,3.6415118091327003e-17,1,1,8.627165908705446e+16,1.3730560992443548e+16,4.54898301395198e-18,4.548983013951979e-18,24,4.0940847125567815e-13,3.790819178293316e-20,45766.28590542308,15255.428635141026,658962.996960412,599813.9687289484,9.09796602790396e-18,0.9102392266268373,2.1632895730395334e-53,1.8027413108662778e-55,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403202e-30
127,5.622638903065481e-09,3.478806811465691e+26,1.8755104583269672e-17,5.892089877610827e-17,1,1,5.3318817581643416e+16,8485953377933607.0,2.811426116868262e-18,2.811426116868262e-18,24,2.5302835051814357e-13,2.3428550973902182e-20,6677.211125656017,2225.7370418853393,407261.5294500285,370705.41960145684,5.622852233736524e-18,0.9102392266268373,8.263030893928546e-54,6.885859078273789e-56,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
128,9.09762085162737e-09,5.6288276612461334e+26,3.034639667828925e-17,9.533601686743521e-17,1,1,3.2952841505411116e+16,5244607614509953.0,1.7375568970837207e-18,1.7375568970837207e-18,24,1.5638012073753485e-13,1.4479640809031008e-20,974.1919741689454,324.7306580563151,251701.46751038398,229108.54912749192,3.4751137941674415e-18,0.9102392266268373,3.15619695139028e-54,2.630164126158567e-56,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
129,1.4720259754692839e-08,9.107634472711818e+26,4.910150126155888e-17,1.5425691564354334e-16,1,1,2.0365976076232336e+16,3241345763423659.5,1.0738692197845432e-18,1.0738692197845432e-18,24,9.66482297806089e-14,8.948910164871192e-21,142.13269352658756,47.37756450886252,155560.06193964477,141596.87047396516,2.1477384395690864e-18,0.9102392266268373,1.2055599602422886e-54,1.0046333002019072e-56,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
130,2.381788060632019e-08,1.4736462133957939e+27,7.944789793984807e-17,2.4959293251097837e-16,1,1,1.2586865429178808e+16,2003261851086298.0,6.63687677299179e-19,6.63687677299179e-19,24,5.973189095692611e-14,5.530730644159826e-21,20.736880517165364,6.912293505721788,96141.4055707394,87511.67865352695,1.327375354598358e-18,0.9102392266268373,4.604829293365829e-55,3.837357744471524e-57,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
131,3.8538140361013e-08,2.384409660666974e+27,1.2854939920140687e-16,4.0384984815452137e-16,1,1,7779110647053540.0,1238083912337363.2,4.101815424853649e-19,4.101815424853649e-19,24,3.691633882368284e-14,3.418179520711373e-21,3.025470093569656,1.0084900311898852,59418.656368905475,54085.19182043832,8.203630849707298e-19,0.9102392266268373,1.7588882776745874e-55,1.4657402313954895e-57,5.272859085e-35,4.394049237499999e-37,6.6735340544032e-30
132,6.235602096733314e-08,3.858055874062765e+27,2.0799729714125478e-16,6.534427806654993e-16,1,1,4807754782125278.0,765177938748936.2,2.535061348138147e-19,2.5350613481381464e-19,24,2.281555213324332e-14,2.1125511234484556e-21,0.44141013782219685,0.14713671260739894,36722.74920183402,33426.486833088704,5.070122696276294e-19,0.9102392266268373,6.718355396579305e-56,5.598629497149421e-58,5.272859085000001e-35,4.3940492375000005e-37,6.673534054403201e-30
133,1.0089416132834608e-07,6.242465534729735e+27,3.3654669634266145e-16,1.05729262882002e-15,1,1,2971355864928268.0,472905973588427.94,1.566754076715505e-19,1.566754076715505e-19,24,1.4100786690439545e-14,1.3056283972629209e-21,0.06440087118571437,0.021466957061904792,22695.9071670715,20658.704987349654,3.13350815343101e-19,0.9102392266268373,2.5661834129920174e-56,2.138486177493348e-58,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
134,1.632501822956791e-07,1.0100521408792491e+28,5.445439934839158e-16,1.7107354094855178e-15,1,1,1836398917197012.5,292271965160508.75,9.68307271422643e-20,9.68307271422643e-20,24,8.714765442803787e-15,8.069227261855358e-22,0.0093959604778031,0.0031319868259343663,14026.842034762534,12767.781845739062,1.936614542845286e-19,0.9102392266268373,9.801948423967435e-57,8.168290353306196e-59,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
135,2.6414434362402496e-07,1.6342986943522214e+28,8.810906898265765e-16,2.768028038305536e-15,1,1,1134956947731258.2,180634008427919.66,5.984468052928635e-20,5.984468052928635e-20,24,5.386021247635772e-15,4.987056710773862e-22,0.0013708521589071497,0.00045695071963571654,8669.065132308986,7890.923141610612,1.196893610585727e-19,0.9102392266268373,3.744011141982099e-57,3.1200092849850824e-59,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
136,4.273945259197038e-07,2.644350835231469e+28,1.4256346833104915e-15,4.478763447791051e-15,1,1,701441969465755.8,111637956732589.34,3.6986046612978025e-20,3.6986046612978025e-20,24,3.3287441951680224e-15,3.0821705510815023e-22,0.00020000463454692848,6.666821151564283e-05,5357.776902453559,4876.85870412846,7.397209322595605e-20,0.9102392266268373,1.4300850019788548e-57,1.1917375016490457e-59,5.272859085e-35,4.3940492375000005e-37,6.673534054403202e-30
137,6.915388695437283e-07,4.278649529583687e+28,2.3067253731370663e-15,7.246791486096583e-15,1,1,433514978265503.2,68996051695330.41,2.285863391630836e-20,2.285863391630836e-20,24,2.057277052467752e-15,1.904886159692363e-22,2.9180282921347335e-05,9.726760973782445e-06,3311.2882298554314,3014.0644374821572,4.571726783261672e-20,0.9102392266268373,5.462438639544625e-58,4.5520321996205204e-60,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
138,1.1189333954634311e-06,6.923000364815151e+28,3.732360056447555e-15,1.1725554933887621e-14,1,1,267926991200253.06,42641905037259.02,1.4127412696669695e-20,1.4127412696669695e-20,24,1.2714671427002725e-15,1.177284391389141e-22,4.257345902502498e-06,1.419115300834166e-06,2046.4886725981323,1862.7942666463068,2.825482539333939e-20,0.9102392266268373,2.0864658988453136e-58,1.7387215823710946e-60,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
139,1.810472265007158e-06,1.1201649894398829e+29,6.039085429584616e-15,1.897234641998419e-14,1,1,165587987065250.47,26354146658071.44,8.731221219638683e-21,8.731221219638683e-21,24,7.858099097674814e-16,7.276017683032236e-23,6.21138396170078e-07,2.0704613205669267e-07,1264.7995572573018,1151.2701708358527,1.7462442439277367e-20,0.9102392266268373,7.969590569913108e-59,6.64132547492759e-61,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
140,2.929405660470587e-06,1.8124650259213965e+29,9.771445486032163e-15,3.069790135387179e-14,1,1,102339004135002.8,16287758379187.611,5.39619147703102e-21,5.39619147703102e-21,24,4.856572329327919e-16,4.4968262308591835e-23,9.062287068803905e-08,3.020762356267968e-08,781.6891153408317,711.5240958104553,1.079238295406204e-20,0.9102392266268373,3.044112721286165e-59,2.5367606010718044e-61,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
141,4.739877925477809e-06,2.9326300153613194e+29,1.5810530915616994e-14,4.9670247773856655e-14,1,1,63248982930246.89,10066388278883.703,3.3350297426076222e-21,3.3350297426076222e-21,24,3.0015267683468597e-16,2.779191452173019e-23,1.3221698646193268e-08,4.407232882064423e-09,483.1104419164642,439.746075025392,6.6700594852152444e-21,0.9102392266268373,1.1627475939453476e-59,9.689563282877896e-62,5.272859085e-35,4.3940492375000005e-37,6.673534054403201e-30
142,7.669283585948433e-06,4.7450950412827384e+29,2.558197640164928e-14,8.036814912772882e-14,1,1,39090021204754.516,6221370100303.6875,2.0611617344233247e-21,2.061161734423325e-21,24,1.8550455609809924e-16,1.717634778686104e-23,1.9290198353188093e-09,6.430066117729365e-10,298.5786734243569,271.7780207850536,4.1223234688466495e-21,0.9102392266268373,4.441300605499618e-60,3.701083837916348e-62,5.272859084999999e-35,4.3940492375e-37,6.6735340544032e-30
143,1.2409161511426233e-05,7.677725056644052e+29,4.139250731726625e-14,1.3003839690158537e-13,1,1,24158961725492.418,3845018178580.0234,1.2738680081842997e-21,1.2738680081842997e-21,24,1.1464812073658696e-16,1.0615566734869164e-23,2.814402010383722e-10,9.381340034612407e-11,184.53176849210763,167.96805424033863,2.5477360163685994e-21,0.9102392266268373,1.6964258770453676e-60,1.4136882308711398e-62,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
144,2.0078445097374647e-05,1.2422820097926779e+30,6.697448371891546e-14,2.1040654602931403e-13,1,1,14931059479262.13,2376351921723.669,7.872937262390269e-22,7.872937262390269e-22,24,7.085643536151243e-17,6.560781051991891e-24,4.106157194979211e-11,1.3687190649930703e-11,114.04690493224953,103.80996654471525,1.5745874524780539e-21,0.9102392266268373,6.479770256364814e-61,5.399808546970678e-63,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
145,3.248760660880086e-05,2.0100545154570817e+30,1.0836699103618163e-13,3.404449429308992e-13,1,1,9227902246230.307,1468666256856.3577,4.865742819452738e-22,4.865742819452738e-22,24,4.379168537507464e-17,4.054785682877281e-24,5.990802610171785e-12,1.996934203390595e-12,70.48486355985827,64.15808769562354,9.731485638905476e-22,0.9102392266268373,2.4750519986407413e-61,2.0625433322006178e-63,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
146,5.256605170617547e-05,3.2523365252497574e+30,1.75341474755097e-13,5.508514889602129e-13,1,1,5703157233031.834,907685664867.3129,3.007194442937537e-22,3.0071944429375364e-22,24,2.7064749986437827e-17,2.5059953691146138e-24,8.740463214103229e-13,2.9134877380344095e-13,43.56204137239134,39.65187884909179,6.014388885875074e-22,0.9102392266268373,9.453857395574055e-62,7.878214496311713e-64,5.272859085000001e-35,4.3940492375e-37,6.673534054403202e-30
147,8.505365831497626e-05,5.262391040706835e+30,2.837084657912784e-13,8.912964318911113e-13,1,1,3524745013198.48,560980591989.046,1.858548376515205e-22,1.858548376515205e-22,24,1.6726935388636845e-17,1.5487903137626706e-24,1.2752163970046265e-13,4.250721323348755e-14,26.922822187466977,24.5062088465318,3.71709675303041e-22,0.9102392266268373,3.6110522003147338e-62,3.009210166928945e-64,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
