N,R_m,R_over_lP,R_over_c_s,t_coh_s,beta,degeneracy,omega_rad_s,nu_Hz,epsilon0_J,shell_zero_point_J,bare_cutoff_M,bare_cutoff_energy_J,scalar_Casimir_energy_J,scalar_Casimir_density_J_m3,scalar_Casimir_pressure_Pa,mode_temperature_K,equal_thermal_zero_temperature_K,mean_Planck_energy_at_theta_J,theta,single_mode_compactness,scalar_Casimir_compactness,epsilon0_R_over_c_Js,scalar_Casimir_R_over_c_Js,rho_R4_Jm
79,5.230382632465224e-19,3.236112267225917e+16,1.744667850338391e-27,5.481035701577387e-27,1,1,5.731750027984081e+26,9.122363495207759e+25,3.022271020800487e-08,3.022271020800487e-08,24,0.0027200439187204375,2.5185591840004055e-10,8.917067134052206e+43,2.9723557113507353e+43,4378043979027959.5,3985067365608691.0,6.044542041600973e-08,0.9102392266268373,9.548888901966834e-34,7.957407418305695e-36,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
80,8.462936873495877e-19,5.236139639782013e+16,2.8229318809267302e-27,8.868502058703832e-27,1,1,3.542416332312325e+26,5.637930697769686e+25,1.8678662140685422e-08,1.8678662140685422e-08,24,0.0016810795926616882,1.5565551783904517e-10,1.3009825616777803e+43,4.336608538925934e+42,2705779983281112.0,2462907079404176.5,3.7357324281370844e-08,0.9102392266268373,3.6473510057546716e-34,3.0394591714622265e-36,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
81,1.369331950596109e-18,8.472251907007923e+16,4.5675997312651176e-27,1.4349537760281207e-26,1,1,2.1893336956717605e+26,3.4844327974380796e+25,1.1544048067319467e-08,1.1544048067319467e-08,24,0.001038964326058752,9.620040056099556e-11,1.8981079769223705e+42,6.327026589741235e+41,1672263995746850.2,1522160286204517.8,2.3088096134638933e-08,0.9102392266268373,1.393164115297173e-34,1.1609700960809774e-36,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
82,2.2156256379456955e-18,1.3708391546789928e+17,7.390531612191843e-27,2.3218039818985023e-26,1,1,1.3530826366405671e+26,2.1534979003316115e+25,7.134614073365968e-09,7.134614073365967e-09,24,0.0006421152666029371,5.945511727804973e-11,2.7693022167876343e+41,9.231007389292114e+40,1033515987534263.6,940746793199660.1,1.4269228146731936e-08,0.9102392266268373,5.321413401368434e-35,4.434511167807028e-37,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
83,3.584957588541802e-18,2.2180643453797834e+17,1.1958131343456951e-26,3.7567577579266204e-26,1,1,8.362510590311947e+25,1.3309348971064702e+25,4.409433993953507e-09,4.409433993953507e-09,24,0.00039684905945581555,3.6745283282945885e-11,4.040357482897067e+40,1.3467858276323555e+40,638748008212587.9,581413493004858.8,8.818867987907014e-09,0.9102392266268373,2.0325990511335578e-35,1.693832542611298e-37,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
84,5.800583226487534e-18,3.588903500058799e+17,1.9348662955648917e-26,6.078561739825161e-26,1,1,5.168315776093697e+25,8.225630032251373e+24,2.7251800794124477e-09,2.7251800794124477e-09,24,0.00024526620714712026,2.270983399510373e-11,5.894802124030405e+39,1.9649340413434682e+39,394767979321673.7,359333300194799.56,5.450360158824895e-09,0.9102392266268373,7.763837520322234e-36,6.469864600268529e-38,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
85,9.385540815029354e-18,5.806967845438593e+17,3.130679429910593e-26,9.835319497751801e-26,1,1,3.1941948142181977e+25,5.083718938813244e+24,1.6842539145410312e-09,1.684253914541031e-09,24,0.00015158285230869277,1.4035449287841926e-11,8.600400392432211e+38,2.866800130810737e+38,243980028890910.16,222080192810055.47,3.3685078290820624e-09,0.9102392266268373,2.965522049631394e-36,2.4712683746928283e-38,5.272859085e-35,4.3940492375e-37,6.673534054403201e-30
86,1.5186124041516878e-17,9.395871345497386e+17,5.065545725475481e-26,1.5913881237576951e-25,1,1,1.974120961875503e+25,3.141911093438134e+24,1.0409261648714185e-09,1.0409261648714185e-09,24,9.368335483842769e-05,8.674384707261819e-12,1.2547815067213032e+38,4.182605022404344e+37,150787950430763.84,137253107384744.38,2.081852329742837e-09,0.9102392266268373,1.132728628571941e-36,9.439405238099508e-39,5.272859085e-35,4.394049237499999e-37,6.673534054403201e-30
87,2.4571664856546215e-17,1.520283919093597e+18,8.196225155386069e-26,2.574920073532873e-25,1,1,1.2200738523426968e+25,1.9418078453751143e+24,6.433277496696137e-10,6.433277496696137e-10,24,5.7899497470265234e-05,5.361064580580115e-12,1.8307015461689676e+37,6.102338487229892e+36,93192078460146.45,84827085425311.25,1.2866554993392274e-09,0.9102392266268373,4.326638360844266e-37,3.605531967370222e-39,5.272859085e-35,4.3940492375e-37,6.6735340544032e-30
88,3.975778889806306e-17,2.4598710536433336e+18,1.326177088086154e-25,4.1663081972905655e-25,1,1,7.540471095328076e+24,1.2001032480630217e+24,3.9759841520180547e-10,3.9759841520180547e-10,24,3.5783857368162495e-05,3.3133201266817122e-12,2.670957559697154e+36,8.90319186565718e+35,57595871970617.51,52426021959433.21,7.951968304036109e-10,0.9102392266268373,1.6526287968133792e-37,1.3771906640111494e-39,5.272859085e-35,4.3940492375e-37,6.673534054403202e-30
