id,lambda,branch,alpha0,beta_plus0,beta_minus0,p_plus0,p_minus0,p_alpha0,momentum_rescale,tau_end,t_end,alpha_min,alpha_max,shear_max,shear_end,beta_max,wall_bounces,lyapunov_tau_bounded_only,recurrence,peaks_beta_plus,constraint_residual,steps,stop_reason,class
46,0.08,contracting,0.167559598,-0.242702720,0.242702720,-43.244040,-19.857495,47.172093,1.000000,1.191569430,5.743382189e-1,-8.839419856,0.167559598,1.042613e+0,9.999995e-1,4.758892836,3,,1.014468210,0,3.076365e-11,1307,collapse,singular
47,0.08,contracting,0.846949498,0.384121600,-0.384121600,24.694950,31.428131,443.294541,1.000000,0.032906394,4.639210876e-1,-8.155788880,0.846949498,1.007399e+0,9.738363e-1,8.183074400,1,,1.000000000,0,1.702008e-12,542,collapse,singular
48,0.08,contracting,0.626339398,-0.089054079,0.089054079,16.651298,-46.062330,10.688231,6.321822,1.766628052,3.376476490e+0,-8.413546109,0.626339398,2.100000e+1,9.997584e-1,3.950505929,5,,0.981797483,0,1.409033e-10,2114,collapse,singular
49,0.08,contracting,0.405729297,0.537770241,-0.537770241,-19.427070,43.999383,451.606841,1.000000,0.028222018,1.207774767e-1,-8.669839985,0.405729297,1.000708e+0,9.983344e-1,8.226863485,1,,1.000000000,0,1.244805e-12,253,collapse,singular
50,0.08,contracting,0.185119197,0.064594561,-0.064594561,-41.488080,5.285010,34.393772,1.000000,0.884323880,6.694743740e-1,-8.819076659,0.185119197,1.478693e+0,7.388980e-1,6.450413667,3,,1.097343552,0,4.447562e-12,1101,collapse,singular
51,0.08,contracting,0.864509097,-0.408581119,0.408581119,26.450910,-33.429364,210.172920,1.000000,0.229470832,9.830266797e-1,-8.138099787,0.864509097,1.022050e+0,9.843642e-1,4.313704013,2,,0.161846418,0,1.020171e-11,1465,collapse,singular
52,0.08,contracting,0.643898996,0.218243201,-0.218243201,4.389900,17.856262,86.342223,1.000000,0.392369974,1.149367842e+0,-8.356433594,0.643898996,1.198556e+0,7.232320e-1,6.565262307,2,,0.083594895,1,4.172140e-12,1722,collapse,singular
53,0.08,contracting,0.423288896,-0.254932479,0.254932479,-17.671110,-20.858112,32.221999,1.000000,1.553188369,1.436365450e+0,-8.634641383,0.423288896,1.620644e+0,9.999994e-1,4.942280422,2,,0.684949548,0,9.180702e-11,1910,collapse,singular
54,0.08,contracting,0.202678795,0.371891841,-0.371891841,-39.732120,30.427514,122.057361,1.000000,0.096150408,2.193165391e-1,-8.803045144,0.202678795,1.009743e+0,9.851287e-1,8.315519661,1,,1.000000000,0,1.135783e-12,416,collapse,singular
55,0.08,contracting,0.882068695,-0.101283839,0.101283839,53.881448,-15.829761,12.254818,1.910224,0.868409855,1.219045140e+1,-8.118497232,0.882068695,1.311008e+2,9.751645e-1,6.556690972,7,,0.793403447,0,2.016234e-10,2829,collapse,singular
56,0.08,contracting,0.661458595,0.525540481,-0.525540481,6.145859,42.998767,700.362952,1.000000,0.018894017,1.704702333e-1,-8.348196123,0.661458595,1.000811e+0,9.969657e-1,8.144512307,1,,1.000000000,0,1.293774e-12,320,collapse,singular
57,0.2,expanding,0.829389900,0.076824320,-0.076824320,22.938990,6.285626,-75.800506,1.000000,0.003640678,2.406522553e+1,0.829389900,6.830327582,9.845706e-2,4.661033e-12,0.115123842,1,,1.000000000,0,2.631135e-13,1611,de Sitter escape,transient
